filename,rows,bytes,sha256
val_sampling_epoch_0003.jsonl,4488,670031,10f97ead8acd72639b35c383eddec7a3a361a5f5938c7b79535bc48017a9599d
val_sampling_epoch_0004.jsonl,4488,670153,f1afb831ce4a6e8dac17acd30f9b1b2986c3c01ba34cecf56570254e2a6e11da
val_sampling_epoch_0005.jsonl,4488,670232,137c0e64d1a68ce6b7a5e53d4f232d13ed44b649d67cbfde2416e957d56ff09f
val_sampling_epoch_0006.jsonl,4488,670002,973ef2ab8d9fd68a552115391fb4ca882128c1d6373c493b8c124d7d4d6dc92d
val_sampling_epoch_0007.jsonl,4488,670129,2390142ac6c1ba19d6042817db23492eaa4af853b1deb07e553bfb9bdf112fa4
val_sampling_epoch_0008.jsonl,4488,670096,bc0283c52d61b6fbbc83b95b2193be59d1def12eb62e95c0385443ab13b66fb0
val_sampling_epoch_0009.jsonl,4488,670214,9853b9e47ab7c7b0db51a57840fa94c3b248be4b87d26a0d281b76011de15ad7
val_sampling_epoch_0010.jsonl,4488,670106,dd0f2d855272a3c4735eea98c9312bcd5e741925c4723fe51cafb39034709aa5
val_sampling_epoch_0011.jsonl,4488,670074,439b7c8ee9090e8aaca4611e386f1f605a21bf13247b91272de186c9bdb02ad1
val_sampling_epoch_0012.jsonl,4488,669966,de254a2ddce9ed546d97fe2f787c6fc0b701e40bb265e60286d7b1abcc62436a
val_sampling_epoch_0013.jsonl,4488,669951,b31a25931b1ce0a3372a47564a2128f120ef289c810807c0ba6e9a7349a699d6
val_sampling_epoch_0014.jsonl,4488,670128,d350ff52816ec176fa9759fd0016cd82961b54a0dc642be0106e104b916b89fe
val_sampling_epoch_0015.jsonl,4488,670161,04ab43a061a376c01f6577a4bf00b536007bde4707ebca3988348be320c443ca
val_sampling_epoch_0016.jsonl,4488,670127,b4efe62c7b2cf9a03b20eb1a83a6dbd128187eca2318861f535cad66f02e6fa7
val_sampling_epoch_0017.jsonl,4488,670138,0ce6f4e5040d4b5a5f6a01a55aaa911f989a6091ad0de51b8e85171496a74d5a
val_sampling_epoch_0018.jsonl,4488,670016,05cdb79e7486f7a0bc522bcc89f3241978d1436ce5877dcf5f2cf9004c445ef2
val_sampling_epoch_0019.jsonl,4488,670076,25486da65c76ded9f80b4de94b85e8581561dc32264aa6709ce73f5e4ad70cc3
val_sampling_epoch_0020.jsonl,4488,670067,cf9865737bdedce14d4623f877660a4222b115f45246ed85c2bdbd871a2d4314
val_sampling_epoch_0021.jsonl,4488,670083,ccb71273c4838f07c39d2cb5fe71cb1af3eedca0b5f5198fef93ee0887fc867f
val_sampling_epoch_0022.jsonl,4488,670093,02395da53f740a27f3c332c75f96c9b078547cdb0a9dde50c5e369a4fd4607cb
val_sampling_epoch_0023.jsonl,4488,670052,8a592a758f8cf81ba15f5e50f133fa36a7dd3eb7d2129a7fb2ccff5c185f2577
val_sampling_epoch_0024.jsonl,4488,670104,567f5c3dcf2001cd827ec74e7d75206eb543a263a1c71aa08f3df7c4c5a95bc6
val_sampling_epoch_0025.jsonl,4488,670095,7cef69180edb94be573aaa4606d37cc3d34b40c70d72859ea73f4e08036f3ed2
